model,accuracy,precision_macro,recall_macro,f1_macro
Multinomial Naïve Bayes,0.9985257711885622,0.9985260349356923,0.9985258761625723,0.9985259139313483
Logistic Regression,0.9983032460849489,0.9983034630210206,0.9983032224684619,0.9983033358159487
Support Vector Machine (LinearSVC),0.9990820839475953,0.9990826806044198,0.9990818999500307,0.9990821376258969
